date,total_number_of_tests,positivity_rate_percent,isolated,quarantined,quarantined_travel,source_file
2020-03-07 09:00:00,,,,,,Web_200307_Epidemiologische Lage Schweiz_DE.pdf
2020-03-08 09:30:00,,,,,,Web_200308_Epidemiologische Lage Schweiz_DE.pdf
2020-03-09 08:00:00,,,,,,Web_200309_Epidemiologische Lage Schweiz_DE.pdf
2020-03-10 09:30:00,,,,,,Web_200310_Epidemiologische Lage Schweiz_DE.pdf
2020-03-11 08:30:00,,,,,,Web_200311_Epidemiologische Lage Schweiz_DE.pdf
2020-03-12 08:00:00,,,,,,Web_200312_Epidemiologische Lage Schweiz_DE.pdf
2020-03-13 08:30:00,,,,,,Web_200313_Epidemiologische Lage Schweiz_DE.pdf
2020-03-14 08:30:00,,,,,,Web_200314_Epidemiologische Lage Schweiz_DE.pdf
2020-03-15 10:40:00,,,,,,Web_200315_Epidemiologische Lage Schweiz_DE.pdf
2020-03-16 07:30:00,,,,,,Web_200316_Epidemiologische Lage Schweiz_DE.pdf
2020-03-17 08:10:00,,,,,,Web_200317_Epidemiologische Lage Schweiz_DE.pdf
2020-03-18 08:15:00,,,,,,Web_200318_Epidemiologische Lage Schweiz_DE.pdf
2020-03-19 08:00:00,,,,,,Web_200319_Epidemiologische Lage Schweiz_DE.pdf
2020-03-20 08:00:00,,,,,,Web_200320_Epidemiologische Lage Schweiz_DE.pdf
2020-03-21 08:15:00,,,,,,Web_200321_Epidemiologische Lage Schweiz_DE.pdf
2020-03-22 08:07:00,,,,,,Web_200322_Epidemiologische Lage Schweiz_DE.pdf
2020-03-23 08:12:00,,,,,,Web_200323_Epidemiologische Lage Schweiz_DE.pdf
2020-03-24 09:00:00,,,,,,Web_200324_Epidemiologische Lage Schweiz_DE.pdf
2020-03-25 08:15:00,,,,,,Web_200325_Epidemiologische Lage Schweiz_DE.pdf
2020-03-26 08:00:00,,,,,,Web_200326_Internettext Lage Inland_DE.pdf
2020-03-27 08:05:00,,,,,,Web_200327_Internettext Lage Inland_DE.pdf
2020-03-28 08:00:00,,,,,,Web_200328_Internettext Lage Inland_DE.pdf
2020-03-29 08:00:00,,,,,,Web_200329_Internettext Lage Inland_DE.pdf
2020-03-30 08:10:00,,,,,,Web_200330_Internettext Lage Inland_DE.pdf
2020-03-31 08:00:00,,,,,,Web_200331_Internettext Lage Inland_DE.pdf
2020-04-01 08:00:00,,,,,,Web_200401_Internettext Lage Inland_DE.pdf
