year,week,total_number_of_pcr_tests,positivity_rate_pcr_percent,total_number_of_antigen_tests,positivity_rate_antigen_percent,source_file
2020,25,48576,0.4,,,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,57285,0.4,,,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,69552,0.7,,,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,49047,1.1,,,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,42238,1.6,,,Web_200722_KW29_Internettext Woche Lage Inland_DE.pdf
2020,30,35678,2.0,,,Web_200729_KW30_Internettext Woche Lage Inland_DE.pdf
2020,31,37674,2.6,,,Web_200805_KW31_Internettext Woche Lage Inland_DE - Kopie.pdf
2020,32,38723,3.5,,,Web_200812_KW32_Internettext Woche Lage Inland_DE.pdf
2020,33,41878,3.3,,,Web_200819_KW33_Internettext Woche Lage Inland_DE.pdf
2020,34,57536,4.2,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,73509,3.7,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,87570,3.2,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,91390,3.1,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,85080,3.9,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,68721,3.7,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,68222,5.4,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,90105,10.2,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,127065,15.5,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,177718,22.5,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,217121,26.5,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,207542,26.5,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,176754,23.9,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,157615,20.8,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,159744,17.6,,,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,164119,17.8,38520,16.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,145666,16.9,63962,11.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,173856,13.6,67385,11.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,103661,17.6,46042,14.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,120632,15.2,46702,12.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,107731,12.2,40115,10.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,119141,9.8,44595,8.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,123072,8.7,47002,6.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,134498,6.3,51177,5.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,144091,4.8,49120,4.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,130119,4.6,46823,4.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,123863,4.8,44496,4.7,BAG_COVID-19_Woechentliche_Lage.pdf
