year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,38,0.0,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,68,0.0,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,96,0.0,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,55,0.0,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,54,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,56,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,41,2.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,35,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,60,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,72,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,78,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,91,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,85,2.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,106,6.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,64,7.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,97,4.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,160,20.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,221,33.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,263,34.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,326,35.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,243,30.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,227,23.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,183,20.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,192,13.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,224,13.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,233,27.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,205,13.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,140,34.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,208,15.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,203,16.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,239,14.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,299,6.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,198,6.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,357,3.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,286,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,437,2.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,431,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,610,3.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,513,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,690,5.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,592,7.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,564,0.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,383,6.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,314,6.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,18,667,5.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,19,705,3.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,20,871,8.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,21,735,6.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,22,660,10.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,23,743,4.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,24,504,3.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,25,506,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,26,412,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,27,229,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,28,190,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,29,183,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,30,161,2.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,31,132,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,32,203,12.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,33,320,9.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,34,381,7.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,35,480,10.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,36,433,10.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,37,471,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,38,409,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,39,353,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,40,298,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,41,198,6.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,42,248,14.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,43,290,12.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,44,272,17.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,45,339,19.2,BAG_COVID-19_Woechentliche_Lage.pdf
