year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,1637,0.2,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,1797,0.4,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,1895,0.5,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,1448,1.7,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,1305,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,1059,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,973,1.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,1154,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,1303,2.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,2152,1.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,2635,1.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,2810,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,2437,1.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,2207,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,1838,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,1495,2.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,1945,5.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,3369,10.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,5162,12.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,5763,15.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,5236,15.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,5132,17.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,5392,18.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,5809,17.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,6147,17.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,7507,15.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,8013,12.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,4660,14.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,5465,10.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,4701,8.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,6354,5.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,6341,5.0,BAG_COVID-19_Woechentliche_Lage.pdf
