year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,1030,0.3,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,1159,0.0,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,1367,0.4,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,1207,1.7,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,1123,1.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,943,1.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,1182,3.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,1113,2.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,1289,5.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,1959,2.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,2145,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,2390,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,2102,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,1746,1.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,1656,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,1502,3.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,1987,5.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,2877,7.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,4281,10.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,4996,12.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,4275,14.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,4235,19.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,4640,15.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,4853,14.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,5115,13.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,6111,12.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,8040,8.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,4251,10.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,4661,9.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,4094,6.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,4429,5.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,4942,4.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,5759,3.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,6471,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,4936,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,4360,3.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,5131,2.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,5369,2.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,6264,1.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,7843,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,7341,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,5009,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,5539,2.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,6999,2.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,18,6500,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,19,5807,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,20,5780,0.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,21,4475,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,22,4776,0.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,23,4630,0.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,24,4652,0.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,25,4453,0.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,26,6959,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,27,6357,0.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,28,5758,0.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,29,6199,0.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,30,6919,0.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,31,6007,0.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,32,6991,1.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,33,8248,2.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,34,9330,1.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,35,10080,1.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,36,10257,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,37,11620,0.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,38,11909,0.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,39,11436,0.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,40,9788,0.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,41,7518,0.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,42,8905,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,43,9782,0.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,44,11080,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
