year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,1554,0.8,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,2330,1.4,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,2748,1.3,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,1684,1.2,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,1427,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,1051,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,1190,2.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,994,2.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,991,4.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,1981,7.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,2161,6.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,2763,8.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,3431,6.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,3478,4.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,2595,4.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,2395,6.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,3202,14.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,5124,22.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,7206,36.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,9311,45.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,10337,44.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,7688,38.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,5132,28.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,4426,19.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,4455,18.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,4487,15.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,5587,11.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,3700,14.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,4524,15.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,4314,12.8,BAG_COVID-19_Woechentliche_Lage.pdf
