year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,3396,0.5,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,4382,0.5,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,4270,0.8,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,3051,1.6,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,3212,3.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,3819,6.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,5415,6.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,4669,6.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,4022,7.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,4838,7.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,5422,6.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,7089,5.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,7743,5.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,9064,5.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,7288,5.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,7173,7.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,9412,11.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,13231,17.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,15814,30.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,22752,34.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,22800,33.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,19155,28.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,14551,21.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,11809,15.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,10229,14.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,12310,9.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,17950,7.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,10029,9.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,11481,8.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,11704,9.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,12186,9.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,13389,8.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,16175,6.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,18931,4.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,13725,5.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,13241,5.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,12788,5.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,14189,7.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,17548,7.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,23379,5.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,27989,5.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,16372,7.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,15815,5.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,14348,8.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,18,16511,5.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,19,17357,3.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,20,17253,2.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,21,12599,2.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,22,12993,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,23,11341,1.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,24,10822,0.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,25,10744,0.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,26,16472,0.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,27,14998,0.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,28,15396,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,29,14665,3.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,30,16725,2.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,31,12935,3.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,32,13510,5.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,33,13615,5.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,34,14888,4.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,35,15558,3.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,36,16703,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,37,19722,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,38,19937,0.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,39,19582,0.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,40,18607,0.6,BAG_COVID-19_Woechentliche_Lage.pdf
