year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,1572,0.5,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,1978,0.5,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,2452,0.8,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,1729,1.3,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,1427,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,1464,1.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,1351,3.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,1387,3.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,1649,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,1953,1.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,2712,1.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,3479,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,3352,1.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,2985,2.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,2532,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,2154,2.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,3214,7.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,4770,13.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,6671,18.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,8033,23.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,6992,22.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,6302,21.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,5958,20.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,5918,18.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,6388,18.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,7591,21.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,9050,18.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,6180,21.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,7300,19.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,6529,17.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,6412,12.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,6190,8.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,6979,6.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,5189,5.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,4078,5.7,BAG_COVID-19_Woechentliche_Lage.pdf
