year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,147,0.0,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,157,0.0,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,217,0.0,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,158,1.3,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,111,1.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,104,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,130,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,143,1.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,116,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,150,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,225,0.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,362,1.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,302,0.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,247,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,225,1.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,195,8.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,351,12.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,544,10.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,589,16.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,618,22.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,654,25.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,512,21.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,457,17.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,497,13.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,589,19.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,593,18.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,894,14.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,557,22.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,662,19.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,649,14.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,798,14.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,902,6.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,859,6.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,676,6.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,553,7.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,533,3.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,623,6.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,724,7.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,703,7.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,826,9.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,827,7.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,605,12.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,622,7.5,BAG_COVID-19_Woechentliche_Lage.pdf
