year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,141,0.0,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,164,0.6,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,227,0.4,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,159,1.9,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,139,2.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,91,2.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,107,1.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,108,4.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,84,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,156,7.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,240,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,259,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,300,0.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,202,2.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,219,3.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,168,3.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,249,17.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,388,19.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,419,19.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,538,23.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,538,26.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,493,32.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,522,27.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,497,21.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,495,17.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,406,19.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,411,18.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,417,14.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,414,20.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,449,26.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,498,21.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,441,6.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,499,8.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,533,6.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,489,11.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,631,3.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,681,4.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,754,5.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,666,6.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,629,5.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,706,4.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,590,8.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,824,8.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,769,7.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,18,650,2.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,19,796,6.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,20,965,8.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,21,842,8.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,22,795,2.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,23,690,4.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,24,567,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,25,484,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,26,477,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,27,846,1.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,28,479,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,29,573,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,30,768,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,31,636,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,32,541,5.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,33,787,3.7,BAG_COVID-19_Woechentliche_Lage.pdf
