year,week,total_number_of_tests,positivity_rate_percent,source_file
None,46,2511,10.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,25,365,0.3,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,437,0.9,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,470,0.6,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,427,1.6,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,348,4.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,271,2.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,301,5.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,362,5.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,340,5.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,488,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,466,0.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,626,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,632,1.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,593,1.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,517,1.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,515,3.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,677,5.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,836,8.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,1274,17.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,1814,14.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,1615,17.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,1364,19.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,1495,19.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,1619,18.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,1731,18.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,2043,14.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,2030,14.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,1179,13.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,1244,12.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,1222,11.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,1168,8.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,1215,5.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,1139,3.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,1098,3.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,1173,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,1148,4.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,1140,4.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,1363,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,1631,2.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,1807,4.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,1844,4.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,1784,4.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,1612,3.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,1356,3.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,18,1244,3.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,19,1263,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,20,1507,2.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,21,1587,3.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,22,1313,1.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,23,1098,0.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,24,989,0.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,25,847,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,26,932,0.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,27,1397,0.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,28,1357,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,29,1199,0.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,30,1050,2.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,31,1110,3.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,32,1261,3.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,33,1553,6.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,34,2095,4.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,35,1932,3.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,36,2087,4.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,37,1962,1.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,38,1838,1.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,39,1949,0.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,40,1104,2.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,41,770,5.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,42,829,3.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,43,1006,9.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,44,1345,12.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,45,1890,14.9,BAG_COVID-19_Woechentliche_Lage.pdf
