year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,1089,0.4,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,1425,0.7,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,2139,0.7,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,1322,1.8,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,1151,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,927,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,842,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,939,3.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,1174,5.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,1914,2.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,2185,2.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,2503,1.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,2294,1.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,2014,2.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,1695,2.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,1534,3.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,1870,6.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,2595,10.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,4148,14.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,5432,17.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,5279,19.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,4645,18.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,4321,19.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,4737,17.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,5251,20.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,6078,19.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,6813,17.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,4169,18.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,4499,15.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,3956,11.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,4533,8.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,4346,8.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,4998,5.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,4273,4.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,4155,6.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,4557,5.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,5141,5.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,5534,2.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,6565,3.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,7213,3.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,8106,3.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,6541,2.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,5144,3.5,BAG_COVID-19_Woechentliche_Lage.pdf
