year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,685,0.7,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,877,1.7,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,1263,2.2,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,854,2.6,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,727,1.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,537,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,567,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,645,3.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,694,3.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,948,3.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,1153,2.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,1329,1.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,1403,2.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,1102,1.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,1006,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,1121,7.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,2084,17.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,3117,21.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,3802,25.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,3477,25.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,2755,20.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,2190,18.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,2183,18.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,2451,17.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,2592,18.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,3243,21.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,3833,18.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,2403,21.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,2642,20.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,2504,13.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,2538,10.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,2485,9.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,2576,6.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,2669,5.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,2321,4.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,2498,4.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,2355,5.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,2371,6.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,2504,5.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,3048,6.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,3501,4.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,3028,7.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,2825,7.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,3025,8.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,18,3047,7.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,19,2484,4.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,20,2994,3.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,21,2386,2.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,22,2947,1.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,23,2475,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,24,2367,0.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,25,1942,0.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,26,1754,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,27,2537,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,28,2654,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
