year,week,total_number_of_tests,positivity_rate_percent,source_file
None,46,9759,11.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,25,1125,0.1,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,1525,0.5,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,2098,0.6,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,1231,1.1,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,1027,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,915,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,798,2.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,1069,2.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,1214,3.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,1485,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,1899,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,2004,0.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,2206,2.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,2136,2.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,1740,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,2022,3.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,2094,7.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,2809,12.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,4600,17.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,5517,20.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,5004,21.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,4313,19.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,4238,19.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,4700,18.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,5356,19.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,6113,20.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,6537,20.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,4165,19.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,5143,17.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,4155,11.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,4393,9.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,4600,7.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,4088,6.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,4341,5.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,4482,6.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,4239,5.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,4455,5.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,4911,3.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,5095,3.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,5830,4.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,6107,5.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,5214,4.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,4607,3.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,4393,3.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,18,4589,3.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,19,5988,2.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,20,4828,1.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,21,3744,2.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,22,3544,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,23,3016,0.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,24,2671,0.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,25,2271,1.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,26,2281,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,27,4238,0.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,28,3313,0.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,29,3232,1.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,30,2832,1.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,31,2754,3.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,32,3418,9.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,33,4628,6.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,34,5612,5.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,35,7064,4.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,36,7321,5.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,37,7571,2.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,38,5720,2.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,39,5521,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,40,5906,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,41,4180,1.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,42,4182,3.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,43,4728,4.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,44,5962,5.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,45,7694,7.5,BAG_COVID-19_Woechentliche_Lage.pdf
