year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,1052,0.7,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,1223,0.2,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,1798,1.6,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,1648,1.9,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,1485,2.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,1552,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,1252,1.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,1198,1.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,1093,1.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,1714,2.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,2400,1.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,2390,1.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,2636,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,3180,1.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,2485,0.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,2513,2.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,3516,6.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,5431,11.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,7958,19.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,8639,26.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,8567,27.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,8311,27.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,7586,24.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,7506,22.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,7612,22.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,8889,21.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,13120,14.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,7927,21.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,8571,15.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,7467,10.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,7771,6.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,6212,6.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,7137,5.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,8137,4.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,6738,4.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,7104,5.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,7123,5.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,8833,5.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,9339,5.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,11493,4.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,11986,3.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,7448,3.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,7395,3.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,7125,3.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,18,7753,2.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,19,8694,1.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,20,11658,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,21,8283,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,22,9161,0.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,23,5948,0.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,24,7948,0.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,25,8637,0.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,26,5861,0.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,27,3638,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,28,3543,3.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,29,3548,4.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,30,3780,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,31,3733,2.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,32,3391,8.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,33,3619,7.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,34,3977,6.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,35,4443,3.8,BAG_COVID-19_Woechentliche_Lage.pdf
