year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,93,0.0,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,165,1.2,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,287,3.5,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,140,2.9,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,105,2.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,93,5.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,96,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,84,0.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,136,6.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,143,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,141,3.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,156,0.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,159,1.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,179,1.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,135,1.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,192,7.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,226,12.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,327,17.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,420,24.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,515,29.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,406,25.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,456,28.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,557,23.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,412,16.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,605,17.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,271,36.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,403,22.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,424,27.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,412,21.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,564,18.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,482,9.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,465,5.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,493,7.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,553,5.1,BAG_COVID-19_Woechentliche_Lage.pdf
