year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,7743,0.5,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,7513,0.7,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,7738,1.4,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,5426,1.9,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,4700,2.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,3955,2.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,4522,4.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,4625,3.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,4672,4.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,6700,5.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,7878,6.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,10507,7.3,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,14424,7.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,13912,7.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,9509,7.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,8612,7.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,12099,12.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,13802,18.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,18575,28.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,24903,33.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,27226,32.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,23162,29.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,17381,22.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,14900,18.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,15386,16.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,17545,12.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,21992,8.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,14603,13.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,17595,12.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,15657,10.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,16666,9.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,18040,8.6,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,20725,7.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,20482,6.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,22382,5.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,19426,6.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,19005,6.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,20428,7.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,24241,7.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,28217,6.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,36191,6.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,24727,8.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,22060,7.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,20327,7.8,BAG_COVID-19_Woechentliche_Lage.pdf
