year,week,total_number_of_tests,positivity_rate_percent,source_file
2020,25,11404,0.4,Web_200625_KW25_Internettext Woche Lage Inland_DE.pdf
2020,26,13303,0.6,Web_200701_KW26_Internettext Woche Lage Inland_DE.pdf
2020,27,16317,1.3,Web_200708_KW27_Internettext_Woche Lage Inland_DE.pdf
2020,28,12424,1.6,Web_200715_KW28_Internettext Woche Lage Inland_DE.pdf
2020,29,10127,2.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,30,7877,2.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,31,7524,2.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,32,7901,3.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,33,9272,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,34,12025,4.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,35,16087,3.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,36,19307,2.8,BAG_COVID-19_Woechentliche_Lage.pdf
2020,37,18715,3.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,38,15378,3.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,39,13715,3.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,40,15502,5.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,41,18238,8.4,BAG_COVID-19_Woechentliche_Lage.pdf
2020,42,24521,12.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,43,33632,16.1,BAG_COVID-19_Woechentliche_Lage.pdf
2020,44,38542,19.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,45,35797,18.5,BAG_COVID-19_Woechentliche_Lage.pdf
2020,46,30819,17.2,BAG_COVID-19_Woechentliche_Lage.pdf
2020,47,30456,16.9,BAG_COVID-19_Woechentliche_Lage.pdf
2020,48,32433,15.0,BAG_COVID-19_Woechentliche_Lage.pdf
2020,49,34031,16.6,BAG_COVID-19_Woechentliche_Lage.pdf
2020,50,43483,14.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,51,54421,11.7,BAG_COVID-19_Woechentliche_Lage.pdf
2020,53,30343,17.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,1,31382,14.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,2,26716,11.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,3,31092,8.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,4,33891,6.9,BAG_COVID-19_Woechentliche_Lage.pdf
2021,5,34988,5.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,6,37232,4.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,7,31601,4.0,BAG_COVID-19_Woechentliche_Lage.pdf
2021,8,26600,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,9,27292,4.7,BAG_COVID-19_Woechentliche_Lage.pdf
2021,10,30582,4.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,11,37488,4.2,BAG_COVID-19_Woechentliche_Lage.pdf
2021,12,45627,4.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,13,54551,3.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,14,39245,5.8,BAG_COVID-19_Woechentliche_Lage.pdf
2021,15,38302,5.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,16,42609,4.5,BAG_COVID-19_Woechentliche_Lage.pdf
2021,18,30157,3.3,BAG_COVID-19_Woechentliche_Lage.pdf
2021,19,32441,2.1,BAG_COVID-19_Woechentliche_Lage.pdf
2021,20,35946,1.4,BAG_COVID-19_Woechentliche_Lage.pdf
2021,21,27897,1.3,BAG_COVID-19_Woechentliche_Lage.pdf
